row-id,reference,land-transaction-tax-threshold,description_en,description_cy,lower-threshold,upper-threshold,land-transaction-tax-category,organisation,start-date,end-date
1,1,1,"The portion up to and including £180,000","Y gyfran hyd at a chan gynnwys £180,000",0,180000,1,,2018-04-01,2020-07-26
2,2,2,"The portion over £180,000 up to and including £250,000","Y gyfran dros £180,000 hyd at a chan gynnwys £250,000",18000.01,250000,1,,2018-04-01,2020-07-26
3,3,3,"The portion over £250,000 up to and including £400,000","Y gyfran dros £250,000 hyd at a chan gynnwys £400,000",250000.01,400000,1,,2018-04-01,
4,4,4,"The portion over £400,000 up to and including £750,000","Y gyfran dros £400,000 hyd at a chan gynnwys £750,000",400000.01,750000,1,,2018-04-01,
5,5,5,"The portion over £750,000 up to and including £1,500,000","Y gyfran dros £750,000 hyd at a chan gynnwys £1,500,000",750000.01,1500000,1,,2018-04-01,
6,6,6,"The portion over £1,500,000","Y gyfran dros £1,500,000",1500000.01,,1,,2018-04-01,2020-07-26
7,7,7,"The portion up to and including £250,000","Y gyfran hyd at a chan gynnwys £250,000",0,250000,1,,2020-07-27,2021-06-30
8,1,1,"The portion up to and including £180,000","Y gyfran hyd at a chan gynnwys £180,000",0,180000,1,,2021-07-01,
9,2,2,"The portion over £180,000 up to and including £250,000","Y gyfran dros £180,000 hyd at a chan gynnwys £250,000",18000.01,250000,1,,2021-07-01,
10,8,8,"The portion up to and including £180,000","Y gyfran hyd at a chan gynnwys £180,000",0,180000,2,,2018-04-01,2020-12-21
11,9,9,"The portion over £180,000 up to and including £250,000","Y gyfran dros £180,000 hyd at a chan gynnwys £250,000",180000.01,250000,2,,2018-04-01,2020-12-21
12,10,10,"The portion over £250,000 up to and including £400,000","Y gyfran dros £250,000 hyd at a chan gynnwys £400,000",250000.01,400000,2,,2018-04-01,2020-12-21
13,11,11,"The portion over £400,000 up to and including £750,000","Y gyfran dros £400,000 hyd at a chan gynnwys £750,000",400000.01,750000,2,,2018-04-01,2020-12-21
14,12,12,"The portion over £750,000 up to and including £1,500,000","Y gyfran dros £750,000 hyd at a chan gynnwys £1,500,000",750000.01,1500000,2,,2018-04-01,2020-12-21
15,13,13,"The portion over £1,500,000","Y gyfran dros £1,500,000",1500000.01,,2,,2018-04-01,2020-12-21
16,8,8,"The portion up to and including £180,000","Y gyfran hyd at ac yn cynnwys £180,000",0,180000,2,,2020-12-22,
17,9,9,"The portion over £180,000 up to and including £250,000","Y gyfran dros £180,000 hyd at ac yn cynnwys £250,000",180000.01,250000,2,,2020-12-22,
18,10,10,"The portion over £250,000 up to and including £400,000","Y gyfran dros £250,000 hyd at ac yn cynnwys £400,000",250000.01,400000,2,,2020-12-22,
19,11,11,"The portion over £400,000 up to and including £750,000","Y gyfran dros £400,000 hyd at ac yn cynnwys £750,000",400000.01,750000,2,,2020-12-22,
20,12,12,"The portion over £750,000 up to and including £1,500,000","Y gyfran dros £750,000 hyd at ac yn cynnwys £1,500,000",750000.01,1500000,2,,2020-12-22,
21,13,13,"The portion over £1,500,000","Y gyfran dros £1,500,000",1500000.01,,2,,2020-12-22,
22,14,14,"The portion up to and including £150,000","Y gyfran hyd at a chan gynnwys £150,000",0,150000,3,,2018-04-01,2020-12-21
23,15,15,"The portion over £150,000 up to and including £250,000","Y gyfran dros £150,000 hyd at a chan gynnwys £250,000",150000.01,250000,3,,2018-04-01,2020-12-21
24,16,16,"The portion over £250,000 up to and including £1,000,000","Y gyfran dros £250,000 hyd at a chan gynnwys £1,000,000",250000.01,1000000,3,,2018-04-01,2020-12-21
25,17,17,"The portion over £1,000,000","Y gyfran dros £1,000,000",1000000.01,,3,,2018-04-01,2020-12-21
26,18,18,"The portion up to and including £225,000","Y gyfran hyd at ac yn cynnwys £225,000",0,225000,3,,2020-12-22,
27,19,19,"The portion over £225,000 up to and including £250,000","Y gyfran dros £225,000 hyd at ac yn cynnwys £250,000",225000.01,250000,3,,2020-12-22,
28,16,16,"The portion over £250,000 up to and including £1,000,000","Y gyfran dros £250,000 hyd at ac yn cynnwys £1,000,000",250000.01,1000000,3,,2020-12-22,
29,17,17,"The portion over £1,000,000","Y gyfran dros £1,000,000",1000000.01,,3,,2020-12-22,
30,20,20,"The portion up to and including £150,000","Y gyfran hyd at a chan gynnwys £150,000",0,150000,4,,2018-04-01,2020-12-21
31,21,21,"The portion over £150,000 up to and including £2,000,000","Y gyfran dros £150,000 hyd at a chan gynnwys £2,000,000",150000.01,2000000,4,,2018-04-01,2020-12-21
32,22,22,"The portion over £2,000,000","Y gyfran dros £2,000,000",2000000.01,,4,,2018-04-01,2020-12-21
33,23,23,"The portion up to and including £225,000","Y gyfran hyd at ac yn cynnwys £225,000",0,225000,4,,2020-12-22,
34,24,24,"The portion over £225,000 up to and including £2,000,000","Y gyfran dros £225,000 hyd at ac yn cynnwys £2,000,000",22500.00,2000000,4,,2020-12-22,
35,22,22,"The portion over £2,000,000","Y gyfran dros £2,000,000",2000000.01,,4,,2020-12-22,